"Hostname","IP de Conexión","Marca","Modelo","Nombre","Puerto de Conexión","Status","Usuario Core","Activar Radius","Activar Vlans Core","Activo","Activos","Asignar MAC para CALLER ID","Astate","Asset Type","Calle","Clave PPPoE","Codigo interno","Codigo Postal","Color","CVLAN","Desactivar Core","Desactivar OLT","Descripción","DHCP Leases","Display Name","Edificio/Zona","Ejecutado desde el Botón","Extraer IP ARP","Extraer IP Lease","Fecha de Geolocalización","Fecha de Instalación","Fibra Óptica","Firmware Version","FTTB","Generado?","Gestión de Cola Padre","Habilitar múltiples Vlans","Habilitar Dhcp Static","ID externo","Interface","IP Address","Is Follower","Latitud","Longitud","Marca/ID externo","Mikrotik Radius","Mostrar MAC","Nodo/ID externo","Nodos/ID externo","Notes","Number of Actions","Number of errors","Número","Password","Password Nass","Password PPPoE","Pool de IPs Único","Poolip","Portal Access URL","PPPoE Medio Inalámbrico","Profile PPPoE","Profiles VSOL","Puerto COA","Puerto por Tarjeta","Radius Server IP","Radius Shared Secret","Reconexión IP+Address-List","Security Token","Simple Queues","Serial Number","SMS Delivery error","Suspendidos","Tarjeta Slot","SVLAN","Tipo de Conexión","Tipos de Control","Usar Pool Dinámico","Tipo","User PROFILE","Versión Software","Vlans única"
"Vaisy","","Mikrotik","RB4011iGS+","VSY/CR1","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","VSY/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_154_4cb1084f","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_114_becf636f","","","0","0","","","95120b0cb8dec839157d956edd5bc9bb1cec9cc6","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","7.13.4",""
"Brisavila","","Mikrotik","CCR2004-16G-2S+","BSVL/CR2","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR2 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_156_75c5fcd5","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","Ls5GexUdXh8mZYMSJC79Kt","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","7.16.1",""
"EdifGuillernoV","","Mikrotik","hEX S","BSVL/CR3","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR3 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_157_af38707a","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","b59b27ff98a46c72a0069d88b68594d66068b846","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifLozada","","Mikrotik","hEX S","BSVL/CR4","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR4 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_158_b94d4fe8","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","713c13624357855d22d4e1985b69647c5f6d46dc","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifLuisaCaceres","","Mikrotik","hEX","BSVL/CR5","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR5 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_159_e6d1b691","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","62300b758bea02e18010a44e9c0451630aa7b6df","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifDarijak","","Mikrotik","hEX","BSVL/CR6","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR6 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_160_4c9590a3","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","4c3bf2ca2ab7c25772f61c66e5aaad09b42e9cd9","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifJunin","","Mikrotik","hEX","BSVL/CR7","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR7 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_161_a9a6493b","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","8a792ece58ff579af7e31e1fe9fe26404d49ac99","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"Edif Altagracia","","Mikrotik","hEX PoE","BSVL/CR8","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR8 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_162_9d66fcfa","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","94656d830c49628f76fd424e0b48349b1d3ed330","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.18",""
"EdifParqueManfredys","","Mikrotik","hEX","BSVL/CR9","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR9 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_163_c6f6c8e9","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","9f7de86fced6aec26e6a34848eeb757b196d4f8d","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.46.3",""
"EdifTulipan","","Mikrotik","hEX","BSVL/CR10","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR10 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_164_bf3d1e24","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","6d637f7e6721ef4ba8db05e71817ad8f7fd27183","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"Edif Castol","","Mikrotik","hEX","BSVL/CR11","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR11 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_165_32ce84b4","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","bb774f7d7b54c4cb5996031ff97505fd91c44f70","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifAntares","","Mikrotik","hEX","BSVL/CR12","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR12 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_166_95fa96a8","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","bc495d3ef4b53710ca9cf86e4b220a041ecc9056","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifSanGabriel","","Mikrotik","hEX","BSVL/CR13","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR13 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_167_7956b302","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","6af83635657abd5971b94a311a98d0eb728a6d16","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"CBM","","Mikrotik","RB4011iGS+","CBM/CR1","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","CBM/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_168_3a7e1443","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_24_d298fbca","","","0","0","","","c22f3d87d0dfb2d2023ecb656f206a7d89de3330","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdfPortalAlameda","","Mikrotik","RB2011UiAS","CBM/CR2","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","CBM/CR2 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_169_7960f7f8","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_24_d298fbca","","","0","0","","","0448783911955beb364831f6ab9b9072a4c2d52f","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"QtaClarimar","","Mikrotik","hEX","CIMA/CR1","","Down","","True","","True","","","new","core","","","","","","","","","mk","","CIMA/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_170_62f231ed","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_23_542ed46d","","","0","0","","","0260f07462449aae998b6b0e002b114374e90cd1","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.15",""
"EdfLosProceres","","Mikrotik","hEX","CIMA/CR2","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","CIMA/CR2 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_171_15e92f93","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_23_542ed46d","","","0","0","","","e6e06196f4e3c0402000c5d52a16824092ae5b45","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"CCMMLB","","Mikrotik","hEX","CIMA/CR3","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","CIMA/CR3 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_172_d6664dce","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_23_542ed46d","","","0","0","","","7da87893ef4da6b2ba84570a6e3cd1b21b08ef69","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifCima","","Mikrotik","CCR2004-16G-2S+","CIMA/CR4","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","CIMA/CR4 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_173_46dd6250","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_23_542ed46d","","","0","0","","","89a5acb1a8d17cbf6330a8bac27ab5d7fa1a1f33","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","7.16.1",""
"Coche","","Mikrotik","RB4011iGS+","COCH/CR2","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","COCH/CR2 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_174_a6585bf4","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_37_4c1f810c","","","0","0","","","6c333b13d2513737ddb34ffdbc507201c14777c1","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","7.6",""
"EdifRoble","","Mikrotik","hEX","COCH/CR3","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","COCH/CR3 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_175_dd997da9","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_37_4c1f810c","","","0","0","","","954a810bc165fe9633914c4c98e85c64b401ae90","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.46.4",""
"EdifJuanBautista","","Mikrotik","hEX","COCH/CR4","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","COCH/CR4 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_176_fa5736ba","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_37_4c1f810c","","","0","0","","","4c0cfeb1ed6ed4be6d0d1354b73c407684c2d0e7","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.46.3",""
"ResdParaguaipoa","","Mikrotik","hEX","COCH/CR5","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","COCH/CR5 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_177_841dd484","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_37_4c1f810c","","","0","0","","","a261fc14ade9ef274287ee5e55fa693db2a9295f","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.46.3",""
"EdifGuamo","","Mikrotik","hEX","COCH/CR6","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","COCH/CR6 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_178_32a17a66","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_37_4c1f810c","","","0","0","","","ceb272b5edd9954b53e37f93668c9c7e870aa520","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.46.3",""
"Cumbres","","Mikrotik","RB4011iGS+","CUMB/CR1","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","CUMB/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_179_5a7cd070","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_25_f1f3e734","","","0","0","","","1ea94deed6f08d386ffd05ee8274152398e64b63","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdfSantaAna","","Mikrotik","hEX","CUMB/CR2","","Down","","True","","True","","","new","core","","","","","","","","","mk","","CUMB/CR2 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_180_4320150e","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_25_f1f3e734","","","0","0","","","ddec24331f92765aa0881c7576078a4423b80c65","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdfMariaRosa","","Mikrotik","hEX","CUMB/CR3","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","CUMB/CR3 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_181_622a876e","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_25_f1f3e734","","","0","0","","","a822874d12e25c4cd2434562ad84564057f168c1","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifAries","","Mikrotik","hEX","CUMB/CR4","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","CUMB/CR4 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_182_87a68fe9","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_25_f1f3e734","","","0","0","","","e096ea59463754bfb13aa0a13ee06c445ca34e98","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdfKaramakata","","Mikrotik","hEX","CUMB/CR5","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","CUMB/CR5 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_183_4884c867","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_25_f1f3e734","","","0","0","","","9abcd87c27be2e53cc09e9cd5c71043f4c86e408","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"DoralCentro","","Mikrotik","CCR2004-16G-2S+","DORA/CR1","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","DORA/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_184_82679b61","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_26_8dcad79f","","","0","0","","","dd87ac2bd422c240f0650447c8eb4403c5f18a1f","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","7.16.2",""
"ResidDanoral","","Mikrotik","hEX","DORA/CR2","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","DORA/CR2 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_185_f135bf80","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_26_8dcad79f","","","0","0","","","cd1203779a5589dbd5e5b22c3fa9f0791cabda15","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifGranoral","","Mikrotik","hEX","DORA/CR3","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","DORA/CR3 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_186_985d9b83","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_26_8dcad79f","","","0","0","","","19dd9745c24ea876e506958af1b091431a79422a","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifLarris","","Mikrotik","hEX","DORA/CR4","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","DORA/CR4 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_187_dc463e26","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_26_8dcad79f","","","0","0","","","bab7798a51c5ecc62dc1c6134273ee44507b2dbb","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifDonCamilo","","Mikrotik","hEX","DORA/CR5","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","DORA/CR5 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_188_c71da54e","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_26_8dcad79f","","","0","0","","","8993f4423620fd25ecf672a868f3284e56e5ab1c","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifAlmosny","","Mikrotik","hEX","DORA/CR6","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","DORA/CR6 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_189_ff959160","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_26_8dcad79f","","","0","0","","","968e01fd2ee094a23904e0eaf17faf82b5d7e4b0","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"HaHumboldtB","","Mikrotik","CCR2004-16G-2S+","HCHB/CR2","","Down","","True","","True","","","new","core","","","","","","","","","mk","","HCHB/CR2 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_190_e41592c3","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_38_b7eb6362","","","0","0","","","0d0dea0102facecf227328ef19b5751220043a89","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","7.16.1",""
"EdifHumaco","","Mikrotik","hEX","HCHB/CR3","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","HCHB/CR3 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_191_430c22cd","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_38_b7eb6362","","","0","0","","","70f428ccd1961ca0808fd668ac3c5772759ab16a","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifAmalia","","Mikrotik","hEX","HCHB/CR4","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","HCHB/CR4 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_192_77c6cbb9","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_38_b7eb6362","","","0","0","","","a3f63ff5f16069f505979596e5e6ac0889284cf1","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdifEnevolucion","","Mikrotik","hEX","HCHB/CR5","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","HCHB/CR5 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_193_d76bb171","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_38_b7eb6362","","","0","0","","","TzKraVpD9mSgfRsB6djUq3","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"HotelMilenio","","Mikrotik","RB4011iGS+","HTML/CR1","","Down","","True","","True","","","new","core","","","","","","","","","mk","","HTML/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_194_23bb85aa","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_27_db4b7151","","","0","0","","","5cbc39a8f324ea3e8c31f3521eab0a3ac5a52a6e","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","7.16.1",""
"EdfUlises","","Mikrotik","hEX","HTML/CR2","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","HTML/CR2 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_195_37495575","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_27_db4b7151","","","0","0","","","f8952710785d5c7ee4b77a25967990412c6e9fbc","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"EdfSanDiego","","Mikrotik","hEX","HTML/CR3","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","HTML/CR3 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_196_45ec6d2a","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_27_db4b7151","","","0","0","","","b941d12c2f9d41ca75f26f8bf13f8eae4148b0c4","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"LlaecoB","","Mikrotik","hEX","HTML/CR4","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","HTML/CR4 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_197_e298af22","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_27_db4b7151","","","0","0","","","c6608f411ebc20be9059dcbecd134cfce3193dc6","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
"IglesiaSanPedro","","Mikrotik","CCR2004-16G-2S+","ISP/CR1","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","ISP/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_198_f8e3f450","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_28_1ac09405","","","0","0","","","8a4ca66d139f319c4e74d5b563072ee2a50ee0f0","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","7.16.1",""
