start	end	text
229000	232000	La instalación y todo eso es como para saber...
234000	236000	Igual saben cuál cajana está.
239000	243000	Hasta el final del tema, la cajana viene siendo...
246000	248000	La diferencia es lo que te veo.
249000	252000	Las cajanas, por ser una...
253000	256000	Un íter netamente pasivo.
259000	262000	Pasivo quiere decir que no tiene nada que ver con...
262000	265000	O sea, no se le enchufa nada a nivel de energía.
265000	267000	Entonces no habla con nada.
267000	269000	Porque acá es bruta.
269000	271000	Es mecánico incluso en cierto sentido.
272000	275000	Entonces la data es netamente...
275000	277000	Estaba otra cosa.
280000	282000	¿Por qué?
282000	285000	Porque el final de esta parte en particular es...
285000	288000	Depende de si se agregó vino o no.
288000	292000	No hay un punto de referencia que yo pueda decir que...
293000	295000	Bueno, se agregó la caja.
295000	297000	Si se agregó esta caja.
297000	300000	Pero lo comparas con estos dos modos, lo debes conseguir bien.
300000	303000	Si encargaste la caja mal, te bajó la caja mal.
303000	305000	Igual con las otras.
305000	307000	Porque el final es como en un serial.
307000	309000	De verdad que se arreglaron unos...
309000	310000	Un almacenes.
310000	312000	Que bueno, se arreglaron unos cajones.
312000	314000	Pero esta para usted.
314000	317000	Si tiene la entidad de que si hay correlación.
317000	319000	Entonces...
319000	322000	En este punto en el mundo si creo yo que...
322000	324000	A nivel de infraestructura...
327000	329000	Con...
329000	332000	Que el objetivo principal sería...
334000	337000	Garantizar la correlación...
337000	340000	Entre los diferentes modos.
340000	342000	La...
342000	344000	Correlación.
346000	350000	No es porque el final baja tenemos un X, X, etc.
350000	353000	Pero todavía tienen que estar bien...
353000	355000	Correlacionados unos como otros.
355000	357000	Para garantizar que esta parte está bien.
357000	360000	O sea claro, esa es la parte que al final...
360000	365000	Garantiza que todos los clientes que se vayan agregando...
365000	367000	Cuando se venga la caja NAP.
367000	369000	Estén de forma de cuadro.
369000	371000	Y que el cliente cuando se vaya a tener.
371000	372000	Cuando se vaya a provisionar.
372000	373000	Cuando vaya a una falla.
373000	375000	Cuando vaya lo que sea asociado al cliente.
375000	377000	No pueda ir aquí.
377000	379000	Y hacer todo eso solo el cliente.
379000	381000	Principalmente esta parte.
381000	384000	La caja NAP si se puede pegar a esto.
384000	386000	Pero vuelvo al punto.
386000	388000	Esta parte se carga más mal.
388000	390000	O sea que no es lo que se hace como que bueno.
390000	394000	Esta caja va pegada con este último punto que va.
394000	396000	Que si ya está guardado así.
396000	398000	Todo esto ya está guardado entonces claro.
398000	400000	Si tu dices que bueno que está aquí.
400000	401000	Esto casa con esto.
401000	402000	Al fin.
402000	404000	Pero...
404000	405000	Como dice esta parte es pasivo.
405000	407000	Mientras que esto si hay manera de como...
407000	409000	Que no está aquí otra vez.
409000	410000	No está mal.
410000	412000	No hay una conexión clara.
412000	414000	Entonces.
414000	416000	Lo que voy a hacer ahora.
416000	418000	Es ir.
418000	420000	De arriba a abajo.
420000	422000	Porque creo que el orden es el de abajo.
422000	423000	Si.
423000	424000	De arriba a abajo.
424000	426000	A ver.
428000	430000	Primero.
430000	432000	Vamos a comenzar.
434000	436000	Con el primer módulo.
436000	438000	El equipo 4.
438000	440000	El equipo 4.
442000	444000	Lo llaman equipo 4.
446000	450000	Personalmente no me gusta su nombre.
452000	454000	Porque en realidad es un rauto.
456000	458000	Ya es un rauto.
458000	460000	Ya lo tengo.
460000	462000	Pero bueno aquí se llama el equipo 4.
464000	466000	Para eso.
466000	470000	Voy a irme directamente al módulo de infraestructura.
472000	474000	Voy a tener aquí el contrato aparte.
474000	476000	Para ver la infraestructura.
480000	482000	Si te muestro el tema de los nodos.
484000	486000	Ya sé que has visto esta parte antes.
486000	488000	El tema del nodo es más como una de si.
488000	490000	Una ubicación física que de hecho lo habíamos hablado alguna vez.
490000	492000	En la reunión anterior.
492000	494000	Para decir que tienes estas localidades.
494000	496000	Tienes estas ubicaciones.
496000	498000	Que tienen los elementos.
498000	500000	Pero lo que más nos interesa.
500000	502000	Para el nivel de funcionalidad.
502000	504000	Es el equipo 4 entonces.
504000	506000	Aquí me están hablando del coche.
506000	508000	Vamos a buscar la localidad de coche.
510000	512000	Me da el list de la localidad.
512000	514000	Pero lo que más nos interesa.
516000	518000	Aquí está toda la lista de los rotos.
518000	520000	Entonces.
522000	524000	Está diciendo que el cliente tiene el access coche 1.
524000	526000	Entonces busco el access coche 1.
526000	528000	Entonces busco el access coche 2.
530000	532000	Aquí tiene todo.
534000	536000	Lo que estábamos hablando en la reunión.
536000	538000	En ese momento.
538000	540000	Con la que hemos hablado.
540000	542000	La pregunta no va de...
542000	544000	No, bueno, es que se necesita que piensen.
544000	546000	Que no se ve su sitio para establecer prioridad.
548000	550000	Si vamos a hablar de prioridad.
550000	552000	El principal importante.
552000	554000	En la parte que está aquí arriba.
554000	556000	Si en algún momento tienes chance.
556000	558000	De revisar los diferentes equipos coches.
558000	560000	Cuando esta parte que está abajo.
560000	562000	La gran parte.
562000	564000	Por mucho son iguales.
564000	566000	Las diferencias.
566000	568000	Que puedes tener.
568000	570000	Entre si es.
570000	572000	Radio.
576000	578000	O si es.
578000	580000	Fibra óptica.
584000	586000	Bueno.
588000	590000	Como?
590000	592000	Es bueno?
592000	594000	Es bueno tenerlo todo.
594000	596000	Por que razón?
596000	598000	Una razón practica de nosotros.
598000	600000	De operación.
600000	602000	Pero ahorita no la estamos usando.
602000	604000	Para que más agente lo usemos.
604000	606000	Y si en un inicio no la necesitamos.
606000	608000	Pero después llega.
608000	610000	Ahora si necesitamos esta parte.
610000	612000	Ah bueno, chévere.
612000	614000	Dame tres meses.
618000	620000	Si pasa eso.
620000	622000	Por eso que al final lo que hablamos en la reunión.
626000	628000	No bueno.
628000	630000	Salió experimental.
634000	636000	Pero ahorita.
636000	638000	En este momento la gran mayoría.
638000	640000	Si es verdad que no se.
640000	642000	Incluso si están habilitadas.
642000	644000	O no habilitadas.
644000	646000	O los habilitamos en todo.
646000	648000	Porque son grabados y no los habilitamos.
648000	650000	Porque son radio.
652000	654000	Pero ahorita son solo valores.
654000	656000	De decidas.
658000	660000	No son cosas que configuren.
660000	662000	O sea que voy a ser honesto.
662000	664000	Que ni yo mismo se que.
664000	666000	Que hace ese tipo de core acceso.
666000	668000	Yo no tengo otro tipo de core.
668000	670000	Todos son acceso.
670000	672000	El activar radios.
672000	674000	Yo no tengo un core que no tenga radios.
674000	676000	Todos son unos radios.
678000	680000	Porque esto lo que hacen.
680000	682000	Es que te habilita esta parte de aquí.
684000	686000	Pero todos los necesitan.
686000	688000	Porque todos dependen de radio.
688000	690000	Entonces realmente agregar la pestañita de activar radios.
690000	692000	Pero no.
692000	694000	Dame esto una vez ni yo.
694000	696000	Es la verdad.
698000	700000	Entonces.
700000	702000	De este modo.
702000	704000	Como te dije.
704000	706000	Lo mas relevante es que esta aquí arriba.
708000	710000	Para ver.
710000	712000	Que del tray este puedo decir de aquí arriba.
712000	714000	Si obviamente el nombre.
714000	716000	Pero bueno.
720000	722000	Se le agrega normas.
722000	724000	Se le agrega versiones.
724000	726000	Pero por ejemplo este tipo de cosas se pueden extraer.
726000	728000	Exactamente del equipo.
728000	730000	Por la API.
730000	732000	Que puede ser un ítem.
732000	734000	Pero no se puede considerar.
734000	736000	La IP si es importante.
736000	738000	En este punto si es importante.
740000	742000	Este.
742000	744000	El puerto.
744000	746000	No. Ahorita no.
746000	748000	No.
748000	750000	Ahorita no se usa.
752000	754000	Toma el mismo protocolo siempre.
754000	756000	Porque.
756000	758000	Que pasa.
760000	762000	Obviamente todos los medios.
762000	764000	Todos los medios tienen la misma API.
764000	766000	Pero.
766000	768000	El tema del IP lo que refleja es.
768000	770000	Como alcanza el equipo.
770000	772000	Entonces.
772000	774000	Que ellos cuenten.
774000	776000	Bueno mira.
776000	778000	El equipo es el que se interrune directamente.
778000	780000	Entonces le ponemos un IP cubierto.
780000	782000	Pero no entiendo.
782000	784000	No me interesa que el equipo sea alcanzado.
784000	786000	Evidentemente es internet.
786000	788000	Entonces se le pone un IP privado.
790000	792000	Por eso por ahora.
792000	794000	Que más.
794000	796000	La marca.
796000	798000	Siempre es microchip.
798000	800000	Aunque bueno tenerlo. El modelo.
800000	802000	El radius. Como dije sin disca.
802000	804000	Y bueno.
804000	806000	No sale con presión.
806000	808000	Eso es una observación.
808000	810000	No es una observación en línea general.
810000	812000	Esta parte ya la has visto.
816000	818000	Déjame ver si puedo profundizarte en algunos puntos.
818000	820000	Que valga la pena que estemos en cuenta.
826000	828000	Quiero comenzar.
830000	832000	Por lo importante de todo esto.
838000	840000	La fibra óptica.
844000	846000	Todos ellos.
846000	848000	Si van a tener en común.
848000	850000	Esta parte.
850000	852000	Y ahora.
852000	854000	Que es lo más importante que diría ellos.
854000	856000	Bueno lo primero.
856000	858000	La profipe.
862000	864000	Cuando uno carga un elemento.
864000	866000	Un equipo core nuevo.
866000	868000	Para decirles.
870000	872000	Donde vamos a acceder al equipo.
872000	874000	A ver si es como lo ubico.
876000	878000	1.1
880000	882000	El puerto.
882000	884000	Si eventualmente es el contrario.
884000	886000	Es bueno tenerlo.
886000	888000	Porque no sabría si eventualmente.
888000	890000	Empieza a tener varios cores de forma visualizada.
890000	892000	Y entonces ya la diferencia en el IP.
892000	894000	Sino el puerto.
894000	896000	Y el puerto.
898000	900000	El segundo punto importante de todo esto.
900000	902000	Ya sería el radio.
910000	912000	Tú ya estabas tratando con la parte de radio.
916000	918000	Básicamente.
918000	920000	Ya la comunicación con el radio ya la tienes.
920000	922000	Entonces.
922000	924000	La relación.
924000	926000	Que tiene esto con radio.
926000	928000	Es que.
928000	930000	Creo que lo hablamos antes.
930000	932000	El core.
932000	934000	Siempre va a ser cliente radio.
936000	938000	Mientras que lo que se montó.
938000	940000	Es el servidor radio.
940000	942000	Entonces aquí lo que se le está diciendo.
942000	944000	Es básicamente.
944000	946000	Tú vas a hablar.
946000	948000	Con este servidor radio.
950000	952000	Y vas a mandar esta clave.
952000	954000	Es la clave para el radio.
962000	964000	Indicar servidor.
972000	974000	Y 2.2
976000	978000	Indicar clave.
980000	982000	Entonces.
982000	984000	Que va a pasar.
984000	986000	Y ahí como tiende.
986000	988000	Tiene que buscar.
988000	990000	A este servidor radio.
990000	992000	Con esta clave.
992000	994000	Para decirle mira.
994000	996000	Todos los temas que necesita de radio.
996000	998000	Para autenticar.
1000000	1002000	Busque a este.
1004000	1006000	Este puerto coa.
1006000	1008000	Si hay que editar.
1010000	1012000	Que es.
1012000	1014000	Puerto coa es para.
1018000	1020000	La manera.
1020000	1022000	En la cual.
1022000	1024000	El servidor radio.
1024000	1026000	Puede enviar.
1026000	1028000	Parámetros adicionales.
1028000	1030000	Al equipo.
1030000	1032000	Con el coa.
1032000	1034000	El rol.
1034000	1036000	El rol cliente servidor.
1036000	1038000	Se inviar.
1038000	1040000	Porque.
1040000	1042000	Por ejemplo.
1042000	1044000	Puede llegar a un cliente.
1044000	1046000	El equipo.
1046000	1048000	Se comporta.
1048000	1050000	Inicialmente como un cliente radio.
1050000	1052000	Para decirle mira.
1052000	1054000	Al servidor.
1054000	1056000	Estoy recibiendo este cliente.
1056000	1058000	Yo le dice si.
1058000	1060000	Pero luego.
1060000	1062000	En ese momento.
1062000	1064000	El servidor radio.
1064000	1066000	Le dice.
1068000	1070000	Al coa.
1070000	1072000	Para que sepa que a este cliente.
1072000	1074000	Tienes que agregarle.
1074000	1076000	Estipe.
1076000	1078000	Y expansionar.
1078000	1080000	Pero él es el que manda.
1080000	1082000	La orden.
1082000	1084000	Y luego este como servidor.
1084000	1086000	Simplemente en ejecución.
1086000	1088000	Como que la información.
1088000	1090000	Que le solicita.
1090000	1092000	Puede cambiar en cualquier momento.
1092000	1094000	Entonces es como que.
1094000	1096000	Porque hay cosas.
1096000	1098000	Hay cosas.
1098000	1100000	Que.
1100000	1102000	En la comunicación.
1102000	1104000	Van por estándar.
1104000	1106000	Que es la autenticación.
1106000	1108000	Pero.
1108000	1110000	La autorización.
1110000	1112000	Que es el clan.
1112000	1114000	Va por allí.
1114000	1116000	Pero.
1116000	1118000	Por ejemplo.
1118000	1120000	En los equipos cortos.
1120000	1122000	Para un ejemplo.
1122000	1124000	Ahora sí.
1124000	1126000	Un equipo corto.
1126000	1128000	De hecho estábamos viendo.
1130000	1132000	Voy a entrar.
1132000	1134000	Pero.
1134000	1136000	Tengo una.
1136000	1138000	Una.
1146000	1148000	El microdit.
1148000	1150000	Tiene una de las funciones particulares.
1150000	1152000	Que tienen lo que llaman una.
1152000	1154000	Unos adreslips.
1154000	1156000	Y esos adreslips tienen básicamente un IP.
1156000	1158000	Son listas con IP.
1158000	1160000	Pero ellos sirven como referencia.
1160000	1162000	Para hacer cosas.
1162000	1164000	Ya.
1164000	1166000	El tema es que tenemos el caso.
1166000	1168000	Para radio.
1168000	1170000	Por cierto.
1170000	1172000	Que es que.
1172000	1174000	El cliente no paga.
1176000	1178000	Que pasa a estar cortado.
1184000	1186000	El cliente puede estar mandando petición.
1186000	1188000	Dice coño autentiquen autentiquen autentiquen.
1190000	1192000	El cliente es cliente que no paga.
1194000	1196000	Claro.
1196000	1198000	Tu pudieras simplemente decirle al servidor radio.
1198000	1200000	Que cuando pasa cortado.
1200000	1202000	Que ya ven en alta, niégalo.
1202000	1204000	El problema de eso es que.
1204000	1206000	Se va a mantener mandando peticiones.
1206000	1208000	Y consumiendo recursos.
1208000	1210000	Porque no lo autentiquen y se queda pegado bien.
1210000	1212000	Entonces.
1212000	1214000	La alternativa es que.
1216000	1218000	Es que.
1218000	1220000	El equipo corto.
1220000	1222000	Si lo autentica.
1222000	1224000	Y lo mete en una lista de suspendidos.
1224000	1226000	Entonces como que bueno.
1226000	1228000	Te acepto a nivel de radio.
1228000	1230000	Pero cada vez que intentas navegar.
1230000	1232000	Te dropea los paquetes.
1232000	1234000	Para que no te hacen interno.
1234000	1236000	Ya no hacen peticiones radio.
1236000	1238000	Pero si quieren tener acceso.
1238000	1240000	Y llenar.
1242000	1244000	La lista de suspendidos.
1244000	1246000	Agregando la IP del cliente.
1246000	1248000	Se hace con el coño.
1252000	1254000	El servidor radio.
1254000	1256000	Ve que el cliente está.
1256000	1258000	Cortado.
1258000	1260000	Entonces usa los atributos core.
1260000	1262000	Para decirle al equipo core.
1262000	1264000	Para este pan a meterlo en la lista de suspendidos.
1276000	1278000	Por ahora indicar que bueno.
1278000	1280000	Si hay que agregar.
1280000	1282000	Realmente siempre ponemos un buen número.
1282000	1284000	En este caso siempre es bueno agregarlo.
1284000	1286000	Porque nuevamente.
1288000	1290000	Este.
1290000	1292000	Ok.
1292000	1294000	Hasta ahora.
1294000	1296000	Hemos hablado de.
1296000	1298000	Agregar las IPs con el puerto.
1298000	1300000	Y en radios indicar.
1300000	1302000	Cuál es el servidor.
1302000	1304000	La clara con la que va a hablar con el servidor.
1306000	1308000	Y este.
1308000	1310000	El puerto.
1314000	1316000	Como tercer punto.
1318000	1320000	Hasta el tema de la API.
1326000	1328000	Ok.
1332000	1334000	Que es precisamente lo que se tiene.
1334000	1336000	Que es lo que se tiene aquí.
1338000	1340000	Usuario.
1340000	1342000	Y.
1342000	1344000	Contracción.
1350000	1352000	Los equipos core.
1352000	1354000	Van a utilizar un usuario.
1354000	1356000	Los equipos core van a utilizar un usuario.
1356000	1358000	Y contracción en particular.
1358000	1360000	Por el tema.
1360000	1362000	O dicho de otra manera.
1362000	1364000	El lodo.
1364000	1366000	Cuando va a hablar con los equipos.
1366000	1368000	Este.
1368000	1370000	Se va.
1370000	1372000	Se le indica el usuario.
1372000	1374000	Y ese es el usuario de contracción.
1374000	1376000	Que va a tener los privilegios de agua.
1376000	1378000	Para hablar y hacer cosas.
1382000	1384000	Vale la pena indicarlo aquí.
1384000	1386000	Se ha indicado allí.
1388000	1390000	Este soy el nuestro.
1392000	1394000	Porque el mismo lodo puede comunicarse.
1394000	1396000	A través del API.
1396000	1398000	Si esto tu le dices al lodo.
1398000	1400000	Le dices el usuario de contraseña.
1400000	1402000	Y el lodo es el que va a usar la API.
1402000	1404000	Para hablar con los equipos.
1404000	1406000	Es cierto.
1408000	1410000	Minimo para ver como el.
1410000	1412000	Estativo no.
1412000	1414000	Pero también.
1414000	1416000	Podrías hacer otras cosas.
1416000	1418000	Pero pudieras tener.
1418000	1420000	Porque que pasa.
1420000	1422000	El radio.
1422000	1424000	No solo se le puede indicar a los clientes.
1424000	1426000	Sino para enterar.
1426000	1428000	El que va a meterse en el equipo.
1428000	1430000	Para ver cosas.
1430000	1432000	Radios también lo usamos para eso.
1432000	1434000	Entonces.
1434000	1436000	Como el servidor de radios.
1436000	1438000	Tiene todos esos usuarios.
1438000	1440000	Entonces.
1440000	1442000	Al final lo que estas diciendo.
1442000	1444000	Es decirle al lodo.
1444000	1446000	Mira vas a usar este usuario de contraseña.
1446000	1448000	Para tu hablar con el corp.
1448000	1450000	Pero.
1450000	1452000	En ese senario no me interesa.
1452000	1454000	Definir un usuario diferente por corp.
1454000	1456000	Definir el mismo usuario para todos.
1456000	1458000	Y que.
1458000	1460000	Odo va a tener siempre el mismo usuario de contraseña.
1460000	1462000	Para hablar con los equipos corp.
1462000	1464000	Entonces en este caso.
1464000	1466000	Agregarselo al grupo corp.
1466000	1468000	Si lo pondría opcional.
1468000	1470000	Pero en cambio si tendría que en algún lado indicarse.
1470000	1472000	Este que usuario de contraseña.
1472000	1474000	Para hablar con la API.
1474000	1476000	Con Odo.
1478000	1480000	Igual lo estoy colgando por aquí.
1480000	1482000	Pero.
1492000	1494000	Claro.
1502000	1504000	Si es así.
1504000	1506000	Ponte un poquito.
1506000	1508000	El tema lo bajas un poquito.
1508000	1510000	En el tema de la lógica.
1512000	1514000	Esta hora hemos hablado.
1514000	1516000	A Odo.
1516000	1518000	Le estamos diciendo.
1518000	1520000	Que el IP del equipo corp.
1520000	1522000	Le estamos invitando.
1522000	1524000	Un puerto.
1524000	1526000	Para el cual buscar hablar con el equipo corp.
1528000	1530000	Este.
1530000	1532000	Le estamos invitando.
1532000	1534000	Cuál es el servidor.
1534000	1536000	Cuál es la clave.
1536000	1538000	Para hablar con el servidor.
1540000	1542000	Cuál es el puerto.
1542000	1544000	Eso está bien.
1546000	1548000	Y aquí el tema.
1550000	1552000	Quién realmente usa.
1552000	1554000	Esta información.
1554000	1556000	En un momento.
1556000	1558000	Te hago una pregunta.
1562000	1564000	Quién usa la IP del cuerpo.
1564000	1566000	O nada más.
1566000	1568000	Quién usa la información de radio.
1568000	1570000	O nada más.
1570000	1572000	Lo usa el corp.
1572000	1574000	Lo usa el servidor.
1574000	1576000	Quién es la usa.
1576000	1578000	O tu cepa.
1580000	1582000	Cuál es la IP.
1582000	1584000	Quién necesita la IP.
1584000	1586000	Para hablar con el equipo corp.
1588000	1590000	Las culturas o LTs.
1590000	1592000	La relación.
1592000	1594000	No, las LTs no tienen que hablar con el equipo corp.
1598000	1600000	Las LTs.
1600000	1602000	De hecho la idea es que se mea.
1602000	1604000	Suave y aparte.
1604000	1606000	Y es todo en tal caso que pueda hablar con las LTs.
1606000	1608000	Pero la LTs no tiene que hablar.
1608000	1610000	A nivel IP con el equipo corp.
1610000	1612000	Realmente no tiene.
1614000	1616000	Para lo que hemos hablado hasta ahora.
1618000	1620000	Ok.
1620000	1622000	Todo si le interesa tener la IP.
1626000	1628000	Notar si le interesa tener la IP.
1632000	1634000	Hay alguien más dentro de todo esto que le interesa la IP.
1636000	1638000	Quién es el radio.
1638000	1640000	El servidor radio.
1646000	1648000	Por qué razón.
1650000	1652000	Porque.
1654000	1656000	El tema de la clave.
1656000	1658000	Lleve una clave.
1658000	1660000	Pero él también espera recibir esa clave de alguien.
1664000	1666000	Entonces cuando un cliente
1666000	1668000	llega al equipo corp.
1668000	1670000	Un cliente usuario.
1670000	1672000	Llega al equipo corp.
1672000	1674000	Y el corp busca hablar
1674000	1676000	con el servidor radio.
1676000	1678000	El manda su clave.
1678000	1680000	Pero él también está indicando
1680000	1682000	su IP ahorita.
1682000	1684000	Así es como el servidor radio
1684000	1686000	dice, ah bueno estoy recibiendo
1686000	1688000	esta IP.
1688000	1690000	De esta IP estoy recibiendo esta clave.
1690000	1692000	Y ahí es donde él verifica
1692000	1694000	su baseada.
1694000	1696000	Pero bueno, aquí lo que él dedica.
1698000	1700000	Más específicamente.
1700000	1702000	Buenas.
1712000	1714000	En el servidor radio.
1714000	1716000	En user manager.
1716000	1718000	Tengo todos los equipos.
1718000	1720000	En distribución perpete que tienen indicada la IP.
1724000	1726000	Sí, igual todo está redondante.
1726000	1728000	Todos los que están en mordu.
1728000	1730000	Todos los equipitos por todo el servicio.
1730000	1732000	Y los radios.
1732000	1734000	Hay dos formas de verlo.
1734000	1736000	Puedes verlo como redondante.
1740000	1742000	Aunque realmente
1742000	1744000	no tanto porque al final todo también le interesa
1744000	1746000	hablar directamente con el equipo corp.
1746000	1748000	O sea le interesa que todo le indique la IP.
1750000	1752000	Pero también está el
1752000	1754000	cargar
1754000	1756000	del equipo corp
1756000	1758000	al servidor radio.
1760000	1762000	Porque si yo instalo un equipo corp nuevo.
1766000	1768000	Y como que
1768000	1770000	tengo ahí que llenarlo
1770000	1772000	en el servidor radio y decir
1772000	1774000	mira se agregó un equipo corp nuevo.
1776000	1778000	Se puede dejar manual.
1778000	1780000	O se puede agregar la función
1780000	1782000	para que en el mismo modo
1782000	1784000	se encarga de llenar.
1786000	1788000	¿Sabes que en el momento que
1788000	1790000	te le das a activar el radio al radio
1790000	1792000	le agregaré el equipo corp nuevo.
1798000	1800000	¿Es prioritario?
1800000	1802000	Claro.
1802000	1804000	No, porque verdad.
1804000	1806000	Yo no pude meter y lo agregó y el manager.
1806000	1808000	Y se acabó.
1808000	1810000	Exacto.
1810000	1812000	Pero si es una mucho ponen ahí mejor.
1812000	1814000	Y al revés
1814000	1816000	o sea
1816000	1818000	la configuración
1818000	1820000	en el equipo, en el router
1820000	1822000	de cuál va a ser el pared y todo eso
1822000	1824000	ya viene configurado.
1828000	1830000	Porque aquí lo estoy llenando
1830000	1832000	con el radio.
1836000	1838000	Aquí no le estoy diciendo
1838000	1840000	al equipo corp.
1840000	1842000	Estoy llenando como que
1842000	1844000	el radio si pienso.
1844000	1846000	Pero no le estoy diciendo al corp
1846000	1848000	a través del API del corp
1848000	1850000	que va a usar ese radio.
1850000	1852000	Buena pregunta.
1854000	1856000	Lo mismo pasa
1856000	1858000	de hecho.
1860000	1862000	Y bueno, estamos en el Axis 8.1
1862000	1864000	de hecho.
1870000	1872000	También me meto
1872000	1874000	uno se tiene que entregar el equipo corp
1874000	1876000	de forma manual y decirle
1876000	1878000	la IP del
1878000	1880000	servidor radio
1880000	1882000	y la clave que va a mandar
1884000	1886000	más aún
1886000	1888000	en incoming.
1888000	1890000	Aquí está el cuarto corp.
1890000	1892000	Cuídate.
1892000	1894000	El cuarto para el corp.
1894000	1896000	Sin discoma malveno.
1898000	1900000	Ahora
1900000	1902000	que también es valioso por decir
1902000	1904000	llenar eso en el corp.
1904000	1906000	De la misma manera.
1908000	1910000	El problema en todo esto
1910000	1912000	es el
1912000	1914000	cómo
1914000	1916000	alcanza el equipo
1916000	1918000	con cosas nuevas.
1918000	1920000	Porque
1920000	1922000	yo tengo un equipo
1922000	1924000	que
1924000	1926000	desde el principio no necesito configurarle
1926000	1928000	el radio para que puedas acceder.
1930000	1932000	Tengo que
1932000	1934000	acargarle una configuración base
1934000	1936000	al equipo corp.
1936000	1938000	Para que
1938000	1940000	él pueda hablar con la red
1940000	1942000	y tenga comunicación con el radio
1942000	1944000	y con todo lo posible.
1944000	1946000	Para luego ir cargando las mismas cosas.
1948000	1950000	No a mano.
1954000	1956000	Que no está malo.
1956000	1958000	Hay muchas cosas hechas que se pueden hacer
1958000	1960000	y que
1960000	1962000	la idea
1962000	1964000	que no
1964000	1966000	ya tener el que hay que configurar en el equipo.
1966000	1968000	Igualito tienen que entrar
1968000	1970000	y tener que
1970000	1972000	unar un admin de
1972000	1974000	un mínimo.
1982000	1984000	Si es algo que también sería deseable agregar
1984000	1986000	pero similar
1986000	1988000	a la otra ocasión no es
1992000	1994000	pero si hay que buscar
1994000	1996000	luego.
1996000	1998000	Cómo
1998000	2000000	se disminuya la carga a la hora
2000000	2002000	de cargar un equipo corp.
2002000	2004000	Por ejemplo
2004000	2006000	este carasote
2006000	2008000	mira
2008000	2010000	¿sabes cuántas veces se ponen los comandos
2010000	2012000	cuando están en el comando?
2012000	2014000	Llega esta mano, no levanta, no guarda
2014000	2016000	entonces hay que así
2016000	2018000	configurarla aquí.
2024000	2026000	Está dando bien.
2026000	2028000	No.
2028000	2030000	Aquí él tiene funciones mejores
2030000	2032000	pero también sale.
2032000	2034000	Entonces
2034000	2036000	a él no lo configura
2036000	2038000	entonces él no le levanta los tigentes, me llama a mí
2038000	2040000	diciendo
2040000	2042000	Marico no me levantes los tigentes, que gola
2042000	2044000	me están jodiendo.
2044000	2046000	Y cuando me pongo a ver el otro no cargo los trabajos.
2046000	2048000	Y eso es porque
2048000	2050000	se resta.
2050000	2052000	Mira
2052000	2054000	yo hago el test.
2054000	2056000	El que lo revisa.
2056000	2058000	No, porque después
2058000	2060000	él lo revisa.
2060000	2062000	Si él lo revisa él tiene la culpa.
2062000	2064000	El que lo hizo él lo revisó.
2064000	2066000	El último que lo revisa es yo él.
2074000	2076000	Lo usé como
2076000	2078000	un chico para graduarle a la corte.
2078000	2080000	Gracias.
2080000	2082000	Gracias.
2082000	2084000	A apoyar.
2086000	2088000	Si pasa.
2088000	2090000	Si pasa.
2090000	2092000	Por supuesto
2092000	2094000	en el momento uno gusta
2094000	2096000	definir los procesos. Bueno mira
